1001;Lionel Messi;A;01/01/2013;01/04/2025;300000
1002;Luciana Aymar;B;02/02/2014;;305000
1003;Rodrigo De Paul;C;03/03/2015;03/06/2025;310000
1004;Agustina Albertario;A;04/04/2016;04/07/2025;315000
1005;Julian Alvarez;B;05/05/2017;;320000
1006;Maria Granatto;C;06/06/2018;06/09/2025;325000
1007;Nicolas Otamendi;A;07/07/2019;07/10/2025;330000
1008;Victoria Sauze;B;08/08/2020;;335000
1009;Enzo Fernandez;C;09/09/2021;09/12/2025;340000
1010;Sofia Toccalino;A;10/10/2022;10/01/2025;345000
1011;Leandro Paredes;B;11/11/2013;;350000
1012;Valentina Raposo;C;12/12/2014;12/03/2025;355000
1013;Lautaro Martinez;A;13/01/2015;13/04/2025;360000
1014;Eugenia Trinchinetti;B;14/02/2016;;365000
1015;German Pezzella;C;15/03/2017;15/06/2025;370000
1016;Agostina Alonso;A;16/04/2018;16/07/2025;375000
1017;Nahuel Molina;B;17/05/2019;;380000
1018;Julieta Jankunas;C;18/06/2020;18/09/2025;385000
1019;Cristian Romero;A;19/07/2021;19/10/2025;390000
1020;Micaela Retegui;B;20/08/2022;;395000
1021;Lisandro Martinez;C;21/09/2013;21/12/2025;400000
1022;Brisa Bruggesser;A;22/10/2014;22/01/2025;405000
1023;Alexis Mac Allister;B;23/11/2015;;410000
1024;Zoe Diaz;C;24/12/2016;24/03/2025;415000
1025;Franco Armani;A;25/01/2017;25/04/2025;420000
1026;Victoria Falasco;B;26/02/2018;;425000
1027;Exequiel Palacios;C;27/03/2019;27/06/2025;430000
1028;Sofia Cairo;A;28/04/2020;28/07/2025;435000
1029;Gonzalo Montiel;B;01/05/2021;;440000
1030;Agustina Gorzelany;C;02/06/2022;02/09/2025;445000
1031;Guido Rodriguez;A;03/07/2013;03/10/2025;450000
1032;Valentina Costa Biondi;B;04/08/2014;;455000
1033;Nicolas Tagliafico;C;05/09/2015;05/12/2025;460000
1034;Maria Jose Granatto;A;06/10/2016;06/01/2025;465000
1035;Thiago Almada;B;07/11/2017;;470000
1036;Luciana Aymar;C;08/12/2018;08/03/2025;475000
1037;Lionel Messi;A;09/01/2019;09/04/2025;480000
1038;Agustina Albertario;B;10/02/2020;;485000
1039;Rodrigo De Paul;C;11/03/2021;11/06/2025;490000
1040;Maria Granatto;A;12/04/2022;12/07/2025;495000
1041;Julian Alvarez;B;13/05/2013;;500000
1042;Victoria Sauze;C;14/06/2014;14/09/2025;505000
1043;Nicolas Otamendi;A;15/07/2015;15/10/2025;510000
1044;Sofia Toccalino;B;16/08/2016;;515000
1045;Enzo Fernandez;C;17/09/2017;17/12/2025;520000
1046;Valentina Raposo;A;18/10/2018;18/01/2025;525000
1047;Leandro Paredes;B;19/11/2019;;530000
1048;Eugenia Trinchinetti;C;20/12/2020;20/03/2025;535000
1049;Lautaro Martinez;A;21/01/2021;21/04/2025;540000
1050;Agostina Alonso;B;22/02/2022;;545000
1051;German Pezzella;C;23/03/2013;23/06/2025;550000
1052;Julieta Jankunas;A;24/04/2014;24/07/2025;555000
1053;Nahuel Molina;B;25/05/2015;;560000
1054;Micaela Retegui;C;26/06/2016;26/09/2025;565000
1055;Cristian Romero;A;27/07/2017;27/10/2025;570000
1056;Brisa Bruggesser;B;28/08/2018;;575000
1057;Lisandro Martinez;C;01/09/2019;01/12/2025;580000
1058;Zoe Diaz;A;02/10/2020;02/01/2025;585000
1059;Alexis Mac Allister;B;03/11/2021;;590000
1060;Victoria Falasco;C;04/12/2022;04/03/2025;595000
1061;Franco Armani;A;05/01/2013;05/04/2025;600000
1062;Sofia Cairo;B;06/02/2014;;605000
1063;Exequiel Palacios;C;07/03/2015;07/06/2025;610000
1064;Agustina Gorzelany;A;08/04/2016;08/07/2025;615000
1065;Gonzalo Montiel;B;09/05/2017;;620000
1066;Valentina Costa Biondi;C;10/06/2018;10/09/2025;625000
1067;Guido Rodriguez;A;11/07/2019;11/10/2025;630000
1068;Maria Jose Granatto;B;12/08/2020;;635000
1069;Nicolas Tagliafico;C;13/09/2021;13/12/2025;640000
1070;Luciana Aymar;A;14/10/2022;14/01/2025;645000
1071;Thiago Almada;B;15/11/2013;;650000
1072;Agustina Albertario;C;16/12/2014;16/03/2025;655000
1073;Lionel Messi;A;17/01/2015;17/04/2025;660000
1074;Maria Granatto;B;18/02/2016;;665000
1075;Rodrigo De Paul;C;19/03/2017;19/06/2025;670000
1076;Victoria Sauze;A;20/04/2018;20/07/2025;675000
1077;Julian Alvarez;B;21/05/2019;;680000
1078;Sofia Toccalino;C;22/06/2020;22/09/2025;685000
1079;Nicolas Otamendi;A;23/07/2021;23/10/2025;690000
1080;Valentina Raposo;B;24/08/2022;;695000
1081;Enzo Fernandez;C;25/09/2013;25/12/2025;700000
1082;Eugenia Trinchinetti;A;26/10/2014;26/01/2025;705000
1083;Leandro Paredes;B;27/11/2015;;710000
1084;Agostina Alonso;C;28/12/2016;28/03/2025;715000
1085;Lautaro Martinez;A;01/01/2017;01/04/2025;720000
1086;Julieta Jankunas;B;02/02/2018;;725000
1087;German Pezzella;C;03/03/2019;03/06/2025;730000
1088;Micaela Retegui;A;04/04/2020;04/07/2025;735000
1089;Nahuel Molina;B;05/05/2021;;740000
1090;Brisa Bruggesser;C;06/06/2022;06/09/2025;745000
9999;Carlos Menem;A;13/03/1988;1/1/2000;2.0
